cavity_sigma,repeat,method,ARI,NMI,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction
1.0,9,2-hop Gaussian,0.4567383818525136,0.7251526276096428,0.9996402230617017,0.2401573101689788,0.38727437452087254,0.24013655416792706,0.04065479402770283
1.0,9,4-hop Gaussian,0.6120063194486822,0.7283316517671536,0.996344225169848,0.6654781969834479,0.797973778307509,0.6638572136836887,0.45292785506308636
1.0,9,8-hop Gaussian,0.5112597913452128,0.6714199755239691,0.9974648536529154,0.5611305587968365,0.7182210421506804,0.5603314344899016,0.481793039870938
2.0,0,No graph,0.28634671256735084,0.5896876563042965,0.9972243250063083,0.08539694887419508,0.15732170936088052,0.08537665536088487,0.002271006813020439
2.0,0,1-hop Gaussian,0.4354927411769202,0.7140835408677964,0.9895370957514268,0.20232075716323092,0.33595263724434876,0.20188886732647648,0.02134855210314944
2.0,0,2-hop Gaussian,0.4467666273827772,0.715304675443264,0.9950738916256158,0.2226111759367302,0.3638289982518409,0.22236612057242763,0.02231237322515213
2.0,0,4-hop Gaussian,0.44658723763444036,0.6874166084407475,0.9981422505307855,0.3250788711698863,0.4904319478402608,0.3248823046689414,0.19327229299363058
2.0,0,8-hop Gaussian,0.41512246154119736,0.6568716927498658,0.9917601139954154,0.3459095034357578,0.5129207452858905,0.34491823059188553,0.23957623443404993
2.0,1,No graph,0.35680647453016406,0.6331351298421839,0.9993153811045185,0.094623795323912,0.17287801026450847,0.09461766167541756,0.0029666818804198994
2.0,1,1-hop Gaussian,0.43652436241049053,0.7083383155911722,0.7906224737267583,0.12679891092959938,0.21854748603351956,0.12267937782237832,0.004311506332524926
2.0,1,2-hop Gaussian,0.4355897093434816,0.7082777910334936,0.9982005141388175,0.1678119192704957,0.2873210255651338,0.16776116823641235,0.019408740359897172
2.0,1,4-hop Gaussian,0.3956835617179592,0.6727613117034802,0.9981842941443486,0.23758589394528717,0.3838165220882132,0.23748326061600933,0.042669087607807535
2.0,1,8-hop Gaussian,0.3783313008257549,0.6453308605730114,0.9637600243630088,0.20515147586326116,0.33829214844376343,0.20358100139380295,0.05024870571515582
2.0,2,No graph,0.29622878479898174,0.5715718549121833,0.9770762115423286,0.10499589437745797,0.18961581237439268,0.10473788584238662,0.0024130303639654134
2.0,2,1-hop Gaussian,0.4147540409011369,0.7033089844751202,0.9966135177084803,0.15262111586498983,0.26470533120959433,0.15254200682475919,0.00804289544235925
2.0,2,2-hop Gaussian,0.392411624111598,0.6841147482892573,0.997229916897507,0.14002333722287047,0.24556616643929055,0.13996889580093314,0.015389350569405972
2.0,2,4-hop Gaussian,0.409795450286478,0.6847935551342368,0.9965100046533272,0.18509875102640563,0.3122061449866968,0.18497883734991794,0.03385295486272685
2.0,2,8-hop Gaussian,0.39632771367673664,0.6541657939351518,0.9986501508654915,0.2717706037425991,0.4272659328713141,0.2716708067825899,0.16619024932507542
2.0,3,No graph,0.35194495690710076,0.5914384264495409,0.997789078045545,0.09751933964302692,0.17767366784118424,0.0974982716902869,0.001989829759009507
2.0,3,1-hop Gaussian,0.4284605063340764,0.7111946451575925,0.984629294755877,0.1411901983663944,0.24696677627848965,0.1408796895213454,0.009945750452079566
2.0,3,2-hop Gaussian,0.4310369915988248,0.7048105425393109,0.9965364633442371,0.22382125415964388,0.36554206662902317,0.22364727728116768,0.03165287665961131
2.0,3,4-hop Gaussian,0.40910395540064737,0.6898224563609033,0.9978552778813875,0.23123298327499028,0.37546051015753834,0.23111811839917065,0.037579261469600896
2.0,3,8-hop Gaussian,0.4143566279067219,0.6534828851647708,0.9952453278742653,0.3256623017416483,0.4907442080070334,0.3251564185544768,0.22294129300666976
2.0,4,No graph,0.29931356093148753,0.5647614261898578,0.9807980049875312,0.08498638661999222,0.15641902640789057,0.084845216265775,0.0029925187032418953
2.0,4,1-hop Gaussian,0.41574662967060894,0.7013231624737815,0.9965483234714004,0.13101257617010242,0.23158015354646494,0.13095315233590357,0.010683760683760684
2.0,4,2-hop Gaussian,0.42541883037747547,0.7063865830849606,0.9949441752685907,0.20411426595790658,0.3387362834397189,0.20390277597893192,0.02433115651990731
2.0,4,4-hop Gaussian,0.43758861327390614,0.688608397662471,0.9903080872913992,0.333398158952418,0.49885220990009377,0.3323138555644102,0.10994865211810013
2.0,4,8-hop Gaussian,0.4222455550700955,0.653969188027547,0.9978056426332288,0.3438999092441333,0.5115060744359452,0.3436400146827025,0.24758620689655172
